;POLICY_ID;POLICY_IS_RENEWED;POLICY_IS_RENEWED_PROBABILITY
85;388;1;0,62580585
86;389;1;0,70547277
87;394;1;0,5798801
88;395;1;0,812711
89;416;1;0,8813282
90;417;1;0,8866493
91;442;1;0,64679706
92;443;1;0,7825564
93;444;1;0,5837614
94;445;1;0,76012135
95;448;1;0,63884884
96;453;1;0,8363143
97;454;0;0,48320413
98;455;1;0,64672035
99;458;0;0,40690494
100;459;1;0,8266191
101;460;1;0,7091589
102;465;1;0,75824785
103;466;1;0,7459386
104;468;0;0,4593479
105;494;1;0,80234325
106;498;1;0,57213837
107;499;1;0,788001
108;500;0;0,42011535
109;506;1;0,73285705
110;507;1;0,72009015
111;510;1;0,72708243
112;515;1;0,50065994
113;516;0;0,39812902
114;520;1;0,51954865
115;522;1;0,6025379
116;527;0;0,3061864
117;528;1;0,50849277
118;534;1;0,7901537
119;538;1;0,62266904
120;549;1;0,5554269
121;553;0;0,43454707
122;555;1;0,73601025
123;561;0;0,48409817
124;565;1;0,8588139
125;578;1;0,71986514
126;579;1;0,5760935
127;582;1;0,63386524
128;584;0;0,2915892
129;590;0;0,3410942
130;594;1;0,7628845
131;598;1;0,70467645
132;611;1;0,8229544
133;618;1;0,80522054
134;620;1;0,8656848
135;636;1;0,6493033
136;654;1;0,71056616
137;655;0;0,49404874
138;661;1;0,5620563
139;663;0;0,37253422
140;672;1;0,8625598
141;676;0;0,27045602
142;686;1;0,7941534
143;687;1;0,8101818
144;700;0;0,06929442
145;701;1;0,79323655
146;703;1;0,5058686
147;704;1;0,75553334
148;708;0;0,013137953
149;709;0;0,48155415
150;711;0;0,4311582
151;734;1;0,6077648
152;736;1;0,5773274
153;738;1;0,7177373
154;740;1;0,80776334
155;743;1;0,8317401
156;745;1;0,6783607
157;767;1;0,86875534
158;770;0;0,41282567
159;774;1;0,8033102
160;781;1;0,87842375
161;782;0;0,4208735
162;788;0;0,22968267
163;800;1;0,90073884
164;804;1;0,8778285
165;809;1;0,82074386
166;819;1;0,8444886
167;821;1;0,75743395
168;827;0;0,34694347
169;829;1;0,6842395
170;837;1;0,7130221
171;838;0;0,49681407
172;839;1;0,8031941
173;846;0;0,17267738
174;847;0;0,45203614
175;851;1;0,7897531
176;852;0;0,36721775
177;874;1;0,5123997
178;877;0;0,09859665
179;878;0;0,011864777
180;880;1;0,7120733
181;882;1;0,91959023
182;887;1;0,58268124
183;890;1;0,82809156
184;895;1;0,50054246
185;904;0;0,3200338
186;908;1;0,8388019
187;909;1;0,85029197
188;917;1;0,8180684
189;920;1;0,84198445
190;928;1;0,8675501
191;931;1;0,8301818
192;937;1;0,87661546
193;938;1;0,7455243
194;941;1;0,7070974
195;953;1;0,63635194
196;961;1;0,85806155
197;962;1;0,5183351
198;974;0;0,18889287
199;990;1;0,7706851
200;1000;1;0,8310128
201;1002;1;0,6433857
202;1006;1;0,86701864
203;1007;1;0,72106224
204;1008;1;0,68686914
205;1014;0;0,48237115
206;1015;0;0,15005027
207;1017;1;0,8597866
208;1018;1;0,57358027
209;1019;1;0,8213225
210;1025;0;0,45142177
211;1032;1;0,78872293
212;1033;1;0,74120885
213;1037;0;0,45304352
214;1039;1;0,71133375
215;1046;1;0,70395476
216;1049;1;0,67668027
217;1050;1;0,57714146
218;1054;0;0,038966008
219;1066;1;0,67732596
220;1069;1;0,58545905
221;1071;0;0,032825723
222;1075;1;0,8728996
223;1081;1;0,90033585
224;1084;1;0,58334976
225;1087;1;0,7694053
226;1103;1;0,67061055
227;1120;0;0,42587328
228;1121;1;0,62021905
229;1122;1;0,8961857
230;1129;0;0,4891895
231;1130;1;0,8582301
232;1137;0;0,0508777
233;1138;1;0,81931955
234;1147;1;0,6217692
235;1154;1;0,6707413
236;1158;1;0,7303473
237;1159;1;0,7161451
238;1160;1;0,7385715
239;1164;1;0,5703092
240;1167;1;0,7087012
241;1170;1;0,84317505
242;1173;1;0,6096834
243;1179;1;0,6224255
244;1185;1;0,5432903
245;1187;1;0,57776755
246;1192;0;0,4310399
247;1199;0;0,34690797
248;1206;1;0,84313136
249;1208;0;0,4345513
250;1214;1;0,5034577
251;1219;1;0,7037509
252;1235;1;0,7574777
253;1237;1;0,81937337
254;1246;1;0,73535526
255;1248;1;0,72841823
256;1256;1;0,79490536
257;1258;1;0,86309963
258;1263;0;0,3939937
259;1276;1;0,535708
260;1279;1;0,92034733
261;1282;1;0,88703215
262;1283;1;0,5585698
263;1285;1;0,5294567
264;1290;1;0,79037786
265;1301;1;0,69422495
266;1303;1;0,8271599
267;1305;0;0,46124372
268;1306;0;0,09868519
269;1307;0;0,26394004
270;1314;1;0,9133704
271;1320;1;0,7244059
272;1322;1;0,8758245
273;1331;1;0,8356466
274;1339;1;0,8947322
275;1357;1;0,92752033
276;1364;1;0,8112367
277;1370;1;0,6949896
278;1372;0;0,31871632
279;1374;1;0,55171204
280;1381;1;0,73024106
281;1385;1;0,6858741
282;1389;1;0,6675471
283;1408;1;0,6418906
284;1419;1;0,67661417
285;1420;1;0,7775489
286;1422;1;0,64083195
287;1424;1;0,8248996
288;1425;1;0,76685524
289;1436;0;0,21360388
290;1441;1;0,7298108
291;1446;1;0,7086286
292;1447;1;0,7961353
293;1448;1;0,6515506
294;1451;1;0,77823305
295;1454;0;0,20483966
296;1458;1;0,81264246
297;1460;1;0,7339046
298;1462;1;0,70184815
299;1470;1;0,6865865
300;1480;0;0,2463205
301;1493;0;0,35630605
302;1495;1;0,57142115
303;1496;1;0,79000604
304;1498;0;0,19052523
305;1502;1;0,8306254
306;1504;1;0,62932277
307;1516;1;0,76300496
308;1528;0;0,06066675
309;1529;1;0,7181966
310;1530;1;0,6796328
311;1532;1;0,72802246
312;1538;1;0,73704034
313;1541;1;0,61408466
314;1542;1;0,697444
315;1544;1;0,70461607
316;1551;1;0,6998215
317;1553;1;0,7692356
318;1557;0;0,4282145
319;1559;0;0,15418305
320;1566;1;0,6819862
321;1582;0;0,49418753
322;1586;0;0,4404931
323;1588;1;0,5352632
324;1590;1;0,60970813
325;1600;1;0,72327876
326;1612;1;0,68516827
327;1617;1;0,751975
328;1622;1;0,5211957
329;1625;1;0,73768646
330;1628;1;0,51917857
331;1638;0;0,4430582
332;1642;1;0,5102325
333;1649;1;0,72987247
334;1652;1;0,72421396
335;1654;1;0,8064565
336;1667;1;0,601915
337;1677;1;0,68440396
338;1680;1;0,7166264
339;1688;1;0,7427138
340;1694;1;0,787879
341;1710;1;0,8279727
342;1712;0;0,40408567
343;1730;1;0,8637178
344;1734;1;0,83068
345;1738;1;0,76144916
346;1742;1;0,72514135
347;1744;1;0,524109
348;1750;1;0,62574863
349;1760;1;0,7106032
350;1763;0;0,32009995
351;1765;1;0,7304871
352;1768;1;0,7817918
353;1769;1;0,6628942
354;1779;1;0,687786
355;1781;0;0,030409062
356;1783;0;0,44055325
357;1784;1;0,77031255
358;1785;0;0,43526933
359;1786;1;0,68075097
360;1787;1;0,65360045
361;1792;0;0,10505579
362;1795;1;0,6960644
363;1801;1;0,7276574
364;1811;1;0,61406356
365;1814;0;0,1604682
366;1816;1;0,6245551
367;1830;1;0,7030669
368;1833;1;0,68615824
369;1837;1;0,77422696
370;1840;1;0,8180825
371;1845;1;0,758657
372;1861;1;0,6514838
373;1866;0;0,40155476
374;1876;1;0,729843
375;1877;1;0,53607196
376;1886;0;0,47956482
377;1894;1;0,71276426
378;1897;1;0,5472473
379;1898;1;0,6622896
380;1899;1;0,6700835
381;1901;1;0,80104476
382;1904;1;0,81484395
383;1909;0;0,46241823
384;1910;1;0,6439898
385;1913;1;0,7809011
386;1918;1;0,84694934
387;1920;1;0,53401387
388;1923;0;0,24425
389;1925;1;0,77434975
390;1930;0;0,21715222
391;1937;1;0,76099086
392;1938;1;0,5375451
393;1941;1;0,74503803
394;1944;0;0,3679596
395;1985;0;0,30997625
396;1987;1;0,5187302
397;1990;1;0,609132
398;1992;1;0,5910303
399;1993;1;0,745419
400;1994;1;0,8591242
401;2000;0;0,31147027
402;2007;1;0,8255055
403;2008;1;0,51563686
404;2018;0;0,47268286
405;2052;0;0,28857195
406;2056;1;0,6080257
407;2059;1;0,6773542
408;2062;1;0,7055546
409;2065;1;0,59727657
410;2066;1;0,8358341
411;2072;0;0,37279376
412;2076;0;0,43632364
413;2082;1;0,77300715
414;2089;1;0,80493546
415;2093;1;0,6122452
416;2096;1;0,6386674
417;2099;1;0,58216804
418;2103;0;0,13235196
419;2108;0;0,42191562
420;2109;0;0,03247501
421;2111;1;0,63252676
422;2113;1;0,570023
423;2125;0;0,4959029
424;2135;1;0,68526757
425;2136;0;0,46548057
426;2143;1;0,6403945
427;2145;1;0,8243641
428;2150;1;0,7647779
429;2163;1;0,6227932
430;2167;1;0,7853046
431;2177;1;0,6406596
432;2184;0;0,29707766
433;2187;1;0,62523323
434;2196;1;0,7838784
435;2197;1;0,7937767
436;2198;1;0,88259625
437;2202;1;0,8032623
438;2205;1;0,56002796
439;2214;1;0,8102332
440;2219;0;0,1456637
441;2225;1;0,65774596
442;2231;0;0,4606149
443;2233;1;0,7595994
444;2234;1;0,6694075
445;2241;1;0,82730925
446;2246;0;0,49405587
447;2252;0;0,2908304
448;2254;0;0,48197138
449;2258;1;0,8200256
450;2260;1;0,78432995
451;2268;0;0,36986908
452;2271;1;0,775708
453;2274;1;0,90823704
454;2277;1;0,5134769
455;2279;1;0,6996448
456;2281;1;0,7809867
457;2282;1;0,7397104
458;2287;1;0,7978805
459;2289;1;0,6120769
460;2295;1;0,53430885
461;2297;1;0,8431306
462;2299;1;0,66985214
463;2304;1;0,60705924
464;2305;0;0,33791414
465;2307;0;0,46648782
466;2313;1;0,85226107
467;2316;1;0,64552003
468;2318;1;0,69494784
469;2324;1;0,65942097
470;2325;1;0,8118993
471;2332;1;0,6175915
472;2336;1;0,80533797
473;2342;1;0,6617895
474;2348;1;0,86948085
475;2349;1;0,7986046
476;2351;0;0,4242927
477;2361;1;0,69856787
478;2362;1;0,5787241
479;2366;0;0,31729737
480;2368;0;0,34344488
481;2372;1;0,89967686
482;2378;1;0,71632755
483;2381;1;0,85690343
484;2382;1;0,7402814
485;2384;1;0,5574212
486;2394;1;0,6828085
487;2399;1;0,8391721
488;2401;1;0,84269065
489;2404;1;0,7672709
490;2414;1;0,8211019
491;2415;1;0,7017547
492;2429;1;0,6330776
493;2432;1;0,52335393
494;2443;1;0,59676874
495;2454;1;0,5870127
496;2462;1;0,657751
497;2469;1;0,81046635
498;2472;1;0,9043019
499;2477;1;0,54920083
500;2478;1;0,63527596
501;2481;1;0,81293017
502;2487;0;0,4410995
503;2488;1;0,6169175
504;2498;0;0,46644434
505;2503;1;0,9036608
506;2515;0;0,49671438
507;2527;1;0,8179698
508;2533;1;0,62420934
509;2537;1;0,8063067
510;2539;1;0,56439257
511;2542;0;0,4757606
512;2547;1;0,7593898
513;2550;1;0,8344617
514;2554;1;0,84928805
515;2555;1;0,6619307
516;2556;0;0,48042226
517;2557;0;0,16265321
518;2558;1;0,6066585
519;2559;1;0,6590068
520;2560;1;0,7568655
521;2561;1;0,862834
522;2565;0;0,06467399
523;2570;0;0,13602442
524;2577;1;0,81913966
525;2579;1;0,7529104
526;2585;0;0,44951525
527;2586;1;0,81676835
528;2590;1;0,84084505
529;2594;0;0,39860564
530;2597;1;0,8375007
531;2611;1;0,7611885
532;2612;1;0,7257974
533;2620;1;0,6504319
534;2622;1;0,74136174
535;2631;1;0,75673646
536;2638;1;0,6789553
537;2640;1;0,825945
538;2657;1;0,5053578
539;2658;0;0,2055842
540;2669;1;0,7906245
541;2678;1;0,8265833
542;2693;1;0,86863256
543;2710;1;0,76516545
544;2715;1;0,63481325
545;2717;1;0,7066023
546;2721;1;0,59172523
547;2725;1;0,8573937
548;2726;1;0,6874702
549;2728;1;0,7176362
550;2732;1;0,5929897
551;2740;1;0,7273971
552;2742;1;0,66589
553;2744;1;0,75526077
554;2754;0;0,35793063
555;2759;1;0,7877874
556;2768;1;0,70810014
557;2769;0;0,24652982
558;2770;1;0,81243145
559;2777;1;0,74744326
560;2786;1;0,62587446
561;2795;1;0,7344598
562;2800;1;0,7498326
563;2804;1;0,7574629
564;2807;1;0,6839447
565;2814;1;0,77416605
566;2816;0;0,38382503
567;2819;1;0,8316667
568;2828;1;0,8902009
569;2835;0;0,32208323
570;2847;1;0,6145501
571;2852;1;0,74844307
572;2855;1;0,7663147
573;2861;1;0,83730155
574;2862;1;0,8371134
575;2863;1;0,83036417
576;2871;1;0,8432881
577;2874;1;0,7606801
578;2875;0;0,29498783
579;2876;1;0,7286804
580;2877;1;0,71836877
581;2880;1;0,8111743
582;2892;1;0,8632265
583;2906;0;0,29515544
584;2914;1;0,8234205
585;2918;1;0,5330281
586;2920;1;0,82651275
587;2922;1;0,6655628
588;2926;1;0,57982147
589;2931;1;0,68343014
590;2934;1;0,7367585
591;2939;0;0,3901989
592;2941;0;0,4912992
593;2948;0;0,36532897
594;2957;1;0,7462585
595;2958;1;0,8456587
596;2959;0;0,28742185
597;2960;1;0,82401526
598;2967;0;0,38667983
599;2969;1;0,85204285
600;2975;1;0,7959561
601;2978;0;0,49660417
602;2979;1;0,8059776
603;2980;0;0,43438292
604;2982;0;0,3054935
605;2983;0;0,40169916
606;2990;1;0,8742725
607;2991;1;0,69052047
608;2994;0;0,36779803
609;2997;1;0,6533869
610;3001;1;0,7381426
611;3002;1;0,737338
612;3009;0;0,40337354
613;3011;1;0,8654703
614;3012;1;0,6415942
615;3020;1;0,69444543
616;3021;1;0,85983944
617;3037;1;0,6004321
618;3056;1;0,77188444
619;3060;1;0,5945035
620;3065;1;0,6941677
621;3076;1;0,7744973
622;3084;1;0,53059953
623;3086;1;0,6349625
624;3104;1;0,5859838
625;3111;1;0,67478025
626;3125;1;0,8245154
627;3136;1;0,7861334
628;3147;0;0,4887817
629;3158;1;0,82486206
630;3160;1;0,7941939
631;3173;1;0,6995594
632;3175;1;0,6473343
633;3180;1;0,79207695
634;3181;1;0,7145823
635;3204;1;0,701892
636;3207;0;0,30357218
637;3210;0;0,37440833
638;3216;1;0,81220126
639;3223;1;0,6269187
640;3225;1;0,6270663
641;3229;1;0,6696752
642;3238;1;0,7092522
643;3242;1;0,66735953
644;3243;0;0,3171013
645;3244;1;0,58574617
646;3248;0;0,4681193
647;3250;1;0,8569821
648;3251;1;0,5708772
649;3254;1;0,77358395
650;3260;1;0,8001071
651;3262;1;0,5467174
652;3268;1;0,77764237
653;3271;1;0,7058658
654;3281;0;0,49724355
655;3283;1;0,8818452
656;3286;0;0,44819722
657;3304;1;0,8070417
658;3306;1;0,7927614
659;3308;1;0,87964576
660;3322;1;0,8837662
661;3328;1;0,8002681
662;3333;1;0,50243706
663;3343;1;0,81300867
664;3345;1;0,5250061
665;3346;1;0,89264137
666;3355;1;0,7907695
667;3361;1;0,6918463
668;3363;1;0,59881836
669;3369;1;0,56852716
670;3373;0;0,4547587
671;3376;1;0,5268855
672;3379;1;0,850355
673;3385;1;0,50807637
674;3388;1;0,87308574
675;3391;1;0,6599514
676;3392;1;0,7503958
677;3396;1;0,8570421
678;3397;1;0,7489473
679;3399;1;0,8166714
680;3402;1;0,6015428
681;3412;1;0,863674
682;3416;1;0,83948267
683;3426;1;0,53622407
684;3436;1;0,5901283
685;3439;0;0,21351899
686;3444;1;0,7381071
687;3458;1;0,7977
688;3461;0;0,47303182
689;3470;0;0,07688415
690;3478;1;0,75657034
691;3479;0;0,4504445
692;3484;1;0,6568255
693;3490;1;0,8373463
694;3493;1;0,7657842
695;3494;1;0,68462455
696;3502;0;0,12984218
697;3503;1;0,7836949
698;3514;1;0,70173573
699;3516;0;0,40018302
700;3540;0;0,33507547
701;3543;0;0,3071446
702;3545;1;0,8768224
703;3548;1;0,6145007
704;3551;1;0,8382074
705;3558;0;0,3209829
706;3567;1;0,7990036
707;3577;0;0,4255986
708;3583;0;0,46434182
709;3586;1;0,74027175
710;3589;1;0,6747085
711;3598;1;0,69956636
712;3601;1;0,60270655
713;3603;1;0,7860272
714;3605;0;0,45625582
715;3608;1;0,61152893
716;3613;1;0,78651434
717;3633;1;0,7976612
718;3638;1;0,78239197
719;3639;1;0,7709924
720;3640;0;0,4799705
721;3644;1;0,7537942
722;3658;1;0,6551219
723;3661;1;0,61201644
724;3662;1;0,8629763
725;3670;1;0,71875066
726;3672;1;0,755354
727;3673;1;0,6764127
728;3676;1;0,7169301
729;3679;0;0,3575407
730;3682;1;0,8066552
731;3687;0;0,12503126
732;3691;1;0,8500197
733;3693;1;0,7397548
734;3695;1;0,8145103
735;3696;0;0,42326647
736;3708;1;0,78472686
737;3710;1;0,81818384
738;3719;0;0,21436512
739;3723;1;0,774622
740;3724;1;0,78611
741;3727;0;0,11924608
742;3742;0;0,021788731
743;3756;1;0,84460175
744;3758;1;0,80242515
745;3767;1;0,6945923
746;3775;1;0,8595553
747;3781;1;0,68433124
748;3786;1;0,7362613
749;3788;0;0,2813893
750;3789;1;0,7640193
751;3792;1;0,5658385
752;3794;1;0,69107705
753;3804;0;0,4297262
754;3811;1;0,5584754
755;3820;0;0,3927274
756;3821;1;0,62189966
757;3822;1;0,7455194
758;3829;1;0,61312133
759;3832;0;0,2866612
760;3833;1;0,57330745
761;3839;1;0,7491982
762;3844;0;0,43489072
763;3848;1;0,8233746
764;3853;1;0,53325605
765;3860;1;0,8277429
766;3862;0;0,05808136
767;3866;1;0,73052484
768;3867;1;0,86821955
769;3871;1;0,7730554
770;3874;1;0,6638217
771;3886;1;0,7583441
772;3901;1;0,8396887
773;3909;0;0,47646508
774;3910;0;0,1092856
775;3919;0;0,089568526
776;3920;1;0,8160423
777;3924;1;0,6291765
778;3926;1;0,683479
779;3930;1;0,53990906
780;3932;1;0,71615934
781;3938;1;0,8310869
782;3947;1;0,7372818
783;3948;1;0,70431364
784;3949;1;0,6758694
785;3953;0;0,42720014
786;3958;1;0,6268448
787;3973;0;0,30276966
788;3987;1;0,6473313
789;4000;0;0,34781545
790;4004;1;0,7021195
791;4008;1;0,7125396
792;4010;1;0,70044184
793;4011;1;0,6609113
794;4018;1;0,7630718
795;4022;1;0,71985716
796;4039;1;0,8160038
797;4041;1;0,70727056
798;4043;1;0,667537
799;4045;0;0,20297714
800;4050;0;0,12074276
801;4051;1;0,7771274
802;4054;1;0,898515
803;4060;1;0,65472233
804;4062;1;0,8037739
805;4064;1;0,7427046
806;4074;1;0,76646435
807;4098;1;0,59576863
808;4100;0;0,16382006
809;4109;0;0,05336067
810;4115;1;0,7989951
811;4117;1;0,7996318
812;4118;1;0,72918516
813;4126;1;0,5066819
814;4130;1;0,7298634
815;4133;1;0,52379173
816;4137;1;0,5513649
817;4151;1;0,7312504
818;4153;1;0,88569015
819;4157;1;0,77195126
820;4159;1;0,60497993
821;4174;0;0,42632246
822;4181;1;0,64910346
823;4183;0;0,30628607
824;4185;1;0,5656847
825;4189;0;0,36166573
826;4192;1;0,68725485
827;4196;1;0,77516633
828;4197;1;0,7036007
829;4201;1;0,72707427
830;4214;1;0,60651183
831;4219;1;0,5727702
832;4226;1;0,8561708
833;4234;1;0,86861223
834;4243;1;0,7397652
835;4246;1;0,67411983
836;4248;0;0,2711101
837;4249;1;0,69043076
838;4253;1;0,83998865
839;4256;0;0,2996926
840;4268;1;0,78284746
841;4274;1;0,68588006
842;4279;1;0,82750267
843;4281;1;0,79735374
844;4286;1;0,50087094
845;4291;1;0,61848736
846;4312;1;0,7656703
847;4325;1;0,77548575
848;4334;1;0,7467032
849;4338;1;0,79609406
850;4340;1;0,71479225
851;4344;1;0,83788615
852;4349;1;0,83706415
853;4350;1;0,61596
854;4353;1;0,6283585
855;4354;1;0,70060986
856;4361;1;0,5204266
857;4363;1;0,7366525
858;4369;1;0,82020354
859;4370;1;0,5440087
860;4371;1;0,5104642
861;4379;0;0,32076374
862;4385;0;0,30453223
863;4392;1;0,5952029
864;4399;1;0,73937446
865;4402;1;0,7082409
866;4410;1;0,6543935
867;4414;1;0,8252131
868;4418;1;0,69580454
869;4419;1;0,8984609
870;4423;1;0,74583393
871;4426;1;0,70789295
872;4431;1;0,8829844
873;4433;1;0,6246396
874;4451;1;0,9055693
875;4457;1;0,7087227
876;4466;1;0,75200397
877;4467;1;0,6291602
878;4476;1;0,70927775
879;4485;1;0,71282923
880;4494;0;0,34421846
881;4498;1;0,6077564
882;4499;1;0,8670179
883;4500;1;0,55153733
884;4503;1;0,797119
885;4508;1;0,64107645
886;4511;1;0,78262395
887;4515;0;0,46116668
888;4517;1;0,68339294
889;4522;1;0,5345186
890;4532;1;0,70845836
891;4533;1;0,7197591
892;4539;1;0,7206422
893;4545;1;0,8086772
894;4557;0;0,072820805
895;4566;0;0,37527204
896;4567;0;0,2743453
897;4577;0;0,23751521
898;4585;1;0,88858384
899;4593;1;0,7182831
900;4599;0;0,38531265
901;4604;1;0,8315905
902;4605;1;0,72941285
903;4607;1;0,69485694
904;4613;1;0,80114466
905;4614;1;0,78426474
906;4618;0;0,33626163
907;4623;1;0,6960655
908;4628;0;0,30198526
909;4651;1;0,8019892
910;4664;1;0,5527712
911;4666;0;0,021733958
912;4671;1;0,7644566
913;4676;1;0,7783187
914;4677;1;0,5655916
915;4681;1;0,73194873
916;4683;1;0,6692769
917;4692;1;0,8035081
918;4693;1;0,6033935
919;4706;1;0,6949495
920;4713;1;0,77967113
921;4715;0;0,36729705
922;4717;1;0,7588026
923;4722;1;0,55216014
924;4726;1;0,64569825
925;4728;1;0,7570198
926;4730;1;0,6988172
927;4733;0;0,13128836
928;4743;1;0,6820883
929;4749;0;0,44074664
930;4750;0;0,2629832
931;4755;1;0,6360715
932;4769;0;0,22205733
933;4772;1;0,8283016
934;4773;1;0,73502344
935;4774;0;0,38750643
936;4780;0;0,18813826
937;4782;0;0,45659965
938;4787;1;0,68440557
939;4790;1;0,53119904
940;4791;1;0,82906055
941;4804;1;0,76354516
942;4805;1;0,60980153
943;4807;0;0,41513166
944;4809;0;0,39101824
945;4811;0;0,49906656
946;4818;1;0,50353676
947;4828;1;0,6291509
948;4829;0;0,38067156
949;4830;1;0,66866326
950;4833;0;0,41655165
951;4834;1;0,5296146
952;4835;0;0,3283995
953;4838;1;0,7223918
954;4848;1;0,8205106
955;4849;1;0,5696234
956;4852;0;0,27742562
957;4858;1;0,68848044
958;4859;1;0,76812625
959;4861;1;0,7885859
960;4862;0;0,40194565
961;4874;0;0,13753855
962;4883;1;0,6246656
963;4885;1;0,5701724
964;4890;1;0,9109356
965;4891;1;0,6382882
966;4893;1;0,6985441
967;4898;1;0,73392236
968;4900;1;0,66204137
969;4904;1;0,8947982
970;4909;1;0,72938347
971;4910;0;0,39985234
972;4922;1;0,63234824
973;4924;1;0,7198044
974;4932;1;0,8140507
975;4936;0;0,4725776
976;4937;1;0,6554795
977;4939;1;0,54663366
978;4948;1;0,7332197
979;4949;1;0,62108713
980;4950;1;0,7353942
981;4954;0;0,29706132
982;4961;0;0,12008888
983;4962;1;0,7472446
984;4963;1;0,71298397
985;4972;0;0,12369922
986;4975;1;0,6862434
987;4980;1;0,6901599
988;4984;1;0,7612715
989;4987;1;0,84980965
990;4992;0;0,11842283
991;4999;0;0,069138855
992;5002;1;0,73706555
993;5003;1;0,7005637
994;5004;0;0,35722607
995;5014;1;0,78722143
996;5015;1;0,58502865
997;5016;1;0,51990354
998;5020;1;0,6076871
999;5023;1;0,7045366
1000;5029;1;0,5584799
1001;5030;1;0,7518219
1002;5032;1;0,70788825
1003;5039;0;0,22392058
1004;5047;0;0,31112236
1005;5049;1;0,878751
1006;5052;1;0,6780635
1007;5059;1;0,6908655
1008;5064;1;0,8456332
1009;5071;1;0,52468556
1010;5075;1;0,61999637
1011;5085;1;0,763337
1012;5094;1;0,7523379
1013;5095;1;0,5319026
1014;5097;1;0,5718199
1015;5099;1;0,6733238
1016;5103;1;0,72477496
1017;5105;1;0,7311965
1018;5106;1;0,69309634
1019;5107;1;0,59009016
1020;5108;1;0,7279434
1021;5109;1;0,7362168
1022;5118;1;0,8225373
1023;5124;0;0,123571865
1024;5143;1;0,59845173
1025;5144;1;0,56018615
1026;5147;0;0,40909493
1027;5151;0;0,47471514
1028;5164;0;0,35519508
1029;5165;1;0,55969703
1030;5170;1;0,7377623
1031;5177;1;0,7547782
1032;5182;1;0,55380493
1033;5186;1;0,8696992
1034;5194;1;0,7652653
1035;5195;1;0,78545153
1036;5199;1;0,80747676
1037;5202;1;0,6397563
1038;5204;0;0,4149684
1039;5207;1;0,6338966
1040;5209;0;0,47539192
1041;5214;1;0,67453337
1042;5215;1;0,85216653
1043;5217;1;0,80079347
1044;5227;1;0,7260433
1045;5231;1;0,5794256
1046;5236;1;0,7283798
1047;5244;1;0,6562595
1048;5246;1;0,54543614
1049;5247;1;0,73069185
1050;5250;0;0,3919692
1051;5258;1;0,8102998
1052;5261;1;0,5538306
1053;5273;1;0,66541916
1054;5276;1;0,6263765
1055;5281;0;0,40691507
1056;5283;1;0,7515412
1057;5286;1;0,7341652
1058;5287;1;0,68944395
1059;5305;0;0,25478497
1060;5315;1;0,7705256
1061;5319;1;0,7274565
1062;5324;0;0,40512022
1063;5327;1;0,84828746
1064;5333;1;0,7060523
1065;5334;1;0,6874198
1066;5338;1;0,54095817
1067;5340;1;0,6157744
1068;5341;0;0,3129463
1069;5345;1;0,79284406
1070;5348;1;0,64756244
1071;5351;1;0,639275
1072;5362;1;0,7892656
1073;5372;1;0,75502896
1074;5378;1;0,5797029
1075;5379;1;0,7354886
1076;5386;1;0,72741616
1077;5388;0;0,06357961
1078;5391;1;0,7331434
1079;5393;1;0,60063684
1080;5404;1;0,8144178
1081;5407;0;0,27325165
